date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,month,log_PM2.5,log_CO,season_Spring,season_Summer,season_Winter,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,AQI_t+1,AQI_t+2,AQI_t+3,AQI_lag_1,AQI_lag_2,AQI_roll_mean_3,AQI_roll_std_3,AQI_diff,AQI_rolling_mean
2023-01-04,117.20833333333331,40.72083333333333,60.7875,18.004166666666666,25.825,466.625,94.54166666666669,18.866666666666667,33.041666666666664,0.0,1,3.7310006043658115,6.14766669266831,False,False,True,False,True,False,False,False,False,119.95833333333331,121.75,132.08333333333334,153.0,119.41666666666669,134.0,17.2217965897225,33.583333333333314,129.875
2023-01-05,119.95833333333331,43.60833333333333,63.775,14.416666666666666,28.4625,487.625,103.04166666666669,17.4875,31.666666666666668,0.0,1,3.797920687611335,6.191595324113119,False,False,True,False,False,True,False,False,False,121.75,132.08333333333334,144.625,117.20833333333331,153.0,129.875,20.057253121446557,-35.791666666666686,130.05555555555554
2023-01-06,121.75,46.22083333333333,67.63333333333334,14.479166666666666,31.416666666666668,515.0833333333334,108.25,18.45833333333333,28.08333333333333,0.0,1,3.854835179390957,6.2462682511500605,False,False,True,False,False,False,True,False,False,132.08333333333334,144.625,173.375,119.95833333333331,117.20833333333331,130.05555555555554,19.917988682297928,2.75,119.63888888888887
2023-01-07,132.08333333333334,50.18333333333334,73.10416666666667,24.09583333333333,35.494791666666664,682.1666666666666,101.625,19.925,29.25,0.0,1,3.9354139582187218,6.526738851276282,False,False,True,False,False,False,False,True,False,144.625,173.375,172.33333333333334,121.75,119.95833333333331,119.63888888888887,2.2876226945437343,1.7916666666666856,124.59722222222221
2023-01-08,144.625,87.09583333333335,125.82916666666668,50.297916666666666,35.494791666666664,1645.7916666666667,104.625,19.195833333333333,39.208333333333336,0.0,1,4.478425237082877,7.4065842295639435,False,False,True,False,False,False,False,False,True,173.375,172.33333333333334,153.83333333333334,132.08333333333334,121.75,124.59722222222221,6.544762183382726,10.333333333333343,132.81944444444446
2023-01-09,173.375,87.19583333333333,127.28385416666666,50.297916666666666,35.494791666666664,1781.0833333333333,93.375,19.34583333333333,69.95833333333333,0.0,1,4.479559720778179,7.485538370873009,False,False,True,False,False,False,False,False,False,172.33333333333334,153.83333333333334,77.875,144.625,132.08333333333334,132.81944444444446,11.455252110971891,12.541666666666657,150.0277777777778
2023-01-10,172.33333333333334,110.39166666666668,127.28385416666666,50.297916666666666,35.494791666666664,2022.9583333333333,79.41666666666667,19.825,72.70833333333333,0.0,1,4.713052519189427,7.612810443897695,False,False,True,True,False,False,False,False,False,153.83333333333334,77.875,80.08333333333333,173.375,144.625,150.0277777777778,21.169386854956766,28.75,163.44444444444443
2023-01-11,153.83333333333334,30.45,54.75,29.054166666666664,25.629166666666663,667.0833333333334,76.79166666666667,21.5125,77.16666666666667,0.0083333333333333,1,3.4483989831464497,6.504412916254951,False,False,True,False,True,False,False,False,False,77.875,80.08333333333333,98.66666666666669,172.33333333333334,173.375,163.44444444444443,16.306436896491597,-1.0416666666666572,166.5138888888889
2023-01-12,77.875,24.604166666666668,77.04166666666667,17.087500000000002,18.65,348.0416666666667,68.5,18.054166666666667,28.58333333333333,0.0,1,3.242755098658144,5.855191303805864,False,False,True,False,False,True,False,False,False,80.08333333333333,98.66666666666669,92.66666666666669,153.83333333333334,172.33333333333334,166.5138888888889,10.994027208410161,-18.5,134.68055555555557
2023-01-13,80.08333333333333,33.55833333333333,62.78333333333333,30.266666666666666,28.516666666666666,615.6666666666666,81.54166666666667,16.53489583333334,23.80729166666665,0.0,1,3.5426487174643353,6.424328629404261,False,False,True,False,False,False,True,False,False,98.66666666666669,92.66666666666669,135.625,77.875,153.83333333333334,134.68055555555557,50.05712593109478,-75.95833333333334,103.93055555555556
